## Mon May 15 12:40:07 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_p4o9b3xj/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
2_t	3641.EOY21570	2.84e-281	781.0	KOG0724@1|root,KOG0724@2759|Eukaryota,37Q80@33090|Viridiplantae,3GFRQ@35493|Streptophyta	35493|Streptophyta	K	reveille	EPR1	GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0006950,GO:0006970,GO:0007623,GO:0008150,GO:0009628,GO:0009651,GO:0009719,GO:0009723,GO:0009725,GO:0009889,GO:0010033,GO:0010035,GO:0010038,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0042221,GO:0046686,GO:0048511,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	Myb_DNA-binding
7_t	3641.EOY19700	0.0	1290.0	28IKS@1|root,2QQXM@2759|Eukaryota,37N57@33090|Viridiplantae,3GCII@35493|Streptophyta	35493|Streptophyta	K	Homeobox-leucine zipper protein	-	GO:0000003,GO:0000902,GO:0000904,GO:0000976,GO:0001067,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0007275,GO:0008150,GO:0009653,GO:0009664,GO:0009791,GO:0009827,GO:0009828,GO:0009888,GO:0009889,GO:0009908,GO:0009987,GO:0010026,GO:0010090,GO:0010091,GO:0010468,GO:0010556,GO:0016043,GO:0019219,GO:0019222,GO:0022414,GO:0030154,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0032989,GO:0042545,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0045229,GO:0045595,GO:0045596,GO:0048367,GO:0048437,GO:0048468,GO:0048497,GO:0048519,GO:0048523,GO:0048608,GO:0048731,GO:0048856,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0051171,GO:0051252,GO:0060255,GO:0061458,GO:0065007,GO:0071554,GO:0071555,GO:0071669,GO:0071840,GO:0080090,GO:0090558,GO:0090567,GO:0090626,GO:0090700,GO:0097159,GO:0099402,GO:0140110,GO:1901363,GO:1903506,GO:1990837,GO:2000112,GO:2001141	-	ko:K09338	-	-	-	-	ko00000,ko03000	-	-	-	Homeobox,START
8_t	3641.EOY19701	1.16e-170	485.0	2D0HA@1|root,2S4TR@2759|Eukaryota,37W1T@33090|Viridiplantae,3GJZR@35493|Streptophyta	35493|Streptophyta	S	Hydroxyproline-rich glycoprotein family protein	-	-	-	-	-	-	-	-	-	-	-	-	-
9_t	3641.EOY20304	8.16e-166	465.0	COG0580@1|root,KOG0223@2759|Eukaryota,37PC5@33090|Viridiplantae,3GGC0@35493|Streptophyta	35493|Streptophyta	G	Belongs to the MIP aquaporin (TC 1.A.8) family	BETA-TIP	GO:0000003,GO:0000322,GO:0000325,GO:0000326,GO:0003006,GO:0003674,GO:0005215,GO:0005372,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006833,GO:0006914,GO:0007275,GO:0008150,GO:0008152,GO:0009056,GO:0009705,GO:0009791,GO:0009987,GO:0010154,GO:0010431,GO:0015250,GO:0015267,GO:0015318,GO:0016020,GO:0016021,GO:0021700,GO:0022414,GO:0022803,GO:0022838,GO:0022857,GO:0031090,GO:0031224,GO:0031226,GO:0032501,GO:0032502,GO:0032504,GO:0032586,GO:0034220,GO:0042044,GO:0042807,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0048316,GO:0048608,GO:0048609,GO:0048731,GO:0048856,GO:0051179,GO:0051234,GO:0055085,GO:0061458,GO:0061919,GO:0071695,GO:0071944,GO:0098588,GO:0098805	-	ko:K09873	-	-	-	-	ko00000,ko02000	1.A.8.10	-	-	MIP
13_t	3641.EOY21581	3.3e-149	429.0	COG1409@1|root,2QPJI@2759|Eukaryota,37R88@33090|Viridiplantae,3GF69@35493|Streptophyta	35493|Streptophyta	S	Calcineurin-like phosphoesterase	-	-	-	-	-	-	-	-	-	-	-	-	Metallophos
15_t	3659.XP_004162513.1	1.02e-13	74.3	COG2801@1|root,KOG0017@2759|Eukaryota,3884A@33090|Viridiplantae,3GPQE@35493|Streptophyta,4JUNV@91835|fabids	35493|Streptophyta	L	mitochondrial protein AtMg00810-like	-	-	-	-	-	-	-	-	-	-	-	-	RVT_2
16_t	29730.Gorai.005G135300.1	1.57e-231	643.0	2CKDA@1|root,2QTX7@2759|Eukaryota,37N1R@33090|Viridiplantae,3GCF4@35493|Streptophyta	35493|Streptophyta	S	Endosomal targeting BRO1-like domain-containing protein	-	-	-	-	-	-	-	-	-	-	-	-	BRO1
17_t	2711.XP_006468248.1	3.86e-28	111.0	COG2801@1|root,KOG0017@2759|Eukaryota,388I2@33090|Viridiplantae,3GXAA@35493|Streptophyta	35493|Streptophyta	L	transposition, RNA-mediated	-	-	-	-	-	-	-	-	-	-	-	-	-
18_t	3641.EOY21565	4.52e-273	765.0	COG0076@1|root,KOG1383@2759|Eukaryota,37PA0@33090|Viridiplantae,3GG33@35493|Streptophyta	35493|Streptophyta	E	Belongs to the group II decarboxylase family	-	-	4.1.1.15	ko:K01580	ko00250,ko00410,ko00430,ko00650,ko01100,ko01110,ko01120,ko02024,ko04727,ko04940,map00250,map00410,map00430,map00650,map01100,map01110,map01120,map02024,map04727,map04940	M00027	R00261,R00489,R01682,R02466	RC00299	ko00000,ko00001,ko00002,ko01000	-	-	-	Pyridoxal_deC
20_t	3641.EOY21554	9.5e-138	401.0	COG5147@1|root,KOG0048@2759|Eukaryota,37RDU@33090|Viridiplantae,3GFME@35493|Streptophyta	35493|Streptophyta	K	transcription factor	-	GO:0000981,GO:0000988,GO:0000989,GO:0001067,GO:0001076,GO:0001101,GO:0001134,GO:0001135,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0006950,GO:0006952,GO:0006970,GO:0008150,GO:0009414,GO:0009415,GO:0009605,GO:0009607,GO:0009617,GO:0009620,GO:0009628,GO:0009651,GO:0009719,GO:0009723,GO:0009725,GO:0009733,GO:0009737,GO:0009739,GO:0009751,GO:0009753,GO:0009889,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010200,GO:0010243,GO:0010468,GO:0010556,GO:0010646,GO:0010647,GO:0010928,GO:0010929,GO:0014070,GO:0019219,GO:0019222,GO:0023051,GO:0023056,GO:0030154,GO:0031323,GO:0031326,GO:0032502,GO:0033993,GO:0042221,GO:0042493,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0044212,GO:0044424,GO:0044464,GO:0046677,GO:0046686,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048869,GO:0050789,GO:0050794,GO:0050832,GO:0050896,GO:0051171,GO:0051252,GO:0051704,GO:0051707,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0097305,GO:0098542,GO:0140110,GO:1901363,GO:1901698,GO:1901700,GO:1903506,GO:2000022,GO:2000031,GO:2000112,GO:2001023,GO:2001038,GO:2001141	-	ko:K09422	-	-	-	-	ko00000,ko03000	-	-	-	Myb_DNA-binding
